x,y,z
359.85507381,-46.8662013,-2.46561987
358.33391643000004,-47.57553529,-2.46397313
355.80774271,-48.75352050000001,-2.51358004
352.85554238,-50.13016705,-2.34286561
347.20210642999996,-52.766432269999996,-2.13371901
332.38251071999997,-59.676988099999996,-1.77694455
311.06571539,-69.61726632,0.3095667
265.70060834,-90.77156171,6.3017240800000005
264.99719149,-91.09957345999999,12.25524652
360.15332706000004,-47.218194620000006,-2.43187908
358.73500425,-47.97233677,-2.41724688
356.2353756,-49.30142443,-2.4851137800000003
353.30480801,-50.859648379999996,-2.33104186
347.41077986999994,-53.99358591,-2.17069655
331.53127136,-62.43694359,-1.8771403
302.39512335,-77.92904265,0.33353898
265.52612137,-97.53280876999999,6.47446768
264.84098269,-97.89710663,12.593609859999999
360.51615339999995,-47.51941009,-2.38044613
359.14016067999995,-48.34619667,-2.37395329
356.78114988,-49.7636449,-2.43416329
353.70863758,-51.609811570000005,-2.33381001
347.78409304,-55.169666070000005,-2.19675021
330.73169200999996,-65.41586575000001,-1.98585724
291.54219289,-88.96348421,0.36464176000000004
265.44976267,-104.64152566000001,6.66865849
264.72041506,-105.07976549000001,12.98198945
360.87067603,-47.80654756,-2.33599737
359.49144390000004,-48.7368586,-2.35176717
357.28276864,-50.22664042,-2.39827011
354.06508135999997,-52.39701473,-2.35270297
348.36286795,-56.24323607,-2.20584057
330.36285191,-68.38449435000001,-2.08167132
288.83026525,-96.39879504000001,0.37777352999999997
265.21411856,-112.32821065,6.90432452
264.51142151,-112.80218946999999,13.44327786
361.17557109,-48.11360557,-2.31452599
359.80518832,-49.14627078,-2.34722656
357.79843834,-50.65847667,-2.36345759
354.44269805000005,-53.18722727,-2.37609163
348.65390763000005,-57.54942636,-2.2592941
331.18067512,-70.71654999,-2.11627656
292.24736637,-100.05512194,0.37639673
265.09923397,-120.51286008999999,7.16816863
264.34671607,-121.07992724,13.970202650000001
361.45746078999997,-48.43194587,-2.30763508
360.29611096,-49.406441199999996,-2.2901361700000002
361.76457593,-48.17424379,-1.4057638499999998
354.81378622999995,-54.00669145,-2.41002071
356.56847632999995,-52.534320879999996,-1.3045440099999999
333.29568444999995,-72.06265454999999,-2.07519663
293.93284894,-105.09223647,0.38019402999999996
264.88188671,-129.46906615,7.480960229999999
264.04663781,-130.16992831,14.59870562
361.75816083999996,-48.73112594,-2.29935265
360.81451643,-49.61109493,-2.22523254
362.20087308,-48.31828713,-1.35812634
355.23772824,-54.81157154,-2.44334818
357.26790815,-52.9183845,-1.2769393599999999
360.49373049,-49.91023482,-0.31342344
287.51101334,-117.96821016,0.40808197
360.91760964,-49.51495826,0.6809420199999999
356.81882176,-53.33716735,1.7596261999999998
362.08368572,-49.002206699999995,-2.28639889
361.21627267,-49.900445669999996,-2.20372009
362.6151049,-48.451902069999996,-1.3165685500000002
362.21644914999996,-48.86472516,-1.03102882
357.95886835,-53.27361085,-1.251949
362.64970779000004,-48.416069470000004,-0.18348371
357.69302086000005,-53.54890596999999,0.20906524999999998
361.53550332,-49.569870279999996,0.65904452
357.47616421,-53.77346923,1.7422392400000002
362.45003127999996,-49.22136193,-2.26000998
361.55716981,-50.24848901,-2.21047611
362.9086211,-48.693810860000006,-1.31246185
362.54901646999997,-49.10749167,-1.02397299
358.83503356,-53.379971299999994,-1.19932193
363.11727499,-48.453780269999996,-0.16900303
358.13760363,-54.18227847,0.20941354
362.93622529,-48.66205564,0.57108799
361.7863717,-49.984820490000004,1.13381828
362.81858316,-49.42495144,-2.23625878
361.91517596,-50.58126849999999,-2.21794197
363.17966685,-48.962781969999995,-1.3196984699999998
362.84996218,-49.38478782999999,-1.02745446
359.19624116,-54.06137213,-1.22966083
363.26052439,-48.85928828,-0.18015127
358.58085259,-54.84903942,0.20989964
363.16639937,-48.97976370000001,0.57646373
362.38800895,-49.97606538,1.09228701
363.17171862000004,-49.638427709999995,-2.22445033
364.00281518,-48.45148974,-1.45914296
363.70724766,-48.87360713,-1.2403095
363.15637526,-49.66034047,-1.03351477
359.5366384,-54.82990001,-1.27222427
363.35965227,-49.370028590000004,-0.19782491
357.11131265000006,-58.29365065,0.21751480999999998
363.17159298,-49.638607140000005,0.60512856
362.88664613000003,-50.04555654,1.06661399
363.53413887000005,-49.831577749999994,-2.21248236
364.37258326000006,-48.48977551,-1.41491671
364.17542855,-48.805291530000005,-1.17536236
363.45635374,-49.95606099,-1.04602759
363.07681506,-50.5634547,-0.7073585099999999
363.73480801,-49.51043743,-0.19330214999999998
363.60453207,-49.71892418,0.19507708999999998
363.39653456,-50.05179244,0.6171272600000001
357.28184725,-59.83741597,2.2672843599999997
364.64192206,-48.67394644,-1.73344813
364.61896646,-48.71535979,-1.43272477
364.39963527,-49.11104708,-1.20618213
363.85905877,-50.08628117,-1.03179205
364.13959646,-49.58017349,-0.56525
364.14422322999997,-49.5718265,-0.18551600000000001
358.16504998,-60.35863205,0.22001073000000002
363.85496835,-50.09366055,0.6064243
364.28558082,-50.14824655,-2.18563008
364.8062801,-49.08064509,-1.4937412
364.57868966,-49.54727889,-1.26884192
364.27806501,-50.1636564,-1.01251365
364.57017161000005,-49.564743660000005,-0.54347163
364.40015079999995,-49.913341149999994,-0.19480292
356.56001139,-65.98815577,0.23199774
364.29242191,-50.13422013,0.59738623
362.13677063,-54.55400054,1.52271787
364.66918917000004,-50.27614294,-2.17251618
364.10423236,-51.60711108,-2.15911281
364.83860051000005,-49.877030850000004,-1.30843957
364.66065765,-50.29624215,-1.00664414
364.8705706,-49.80171327,-0.5528040399999999
364.60974845,-50.41617789,-0.21343387
362.48814982000005,-55.41440101999999,0.20674673
364.6815077,-50.24712202,0.59419524
362.86334883,-54.5304787,1.48830327
365.07822322,-50.32434054,-2.14024677
364.60378905,-51.62785229,-2.1170375000000003
365.17723775999997,-50.05229729,-1.3164632
364.74521151,-51.23929295,-1.13735463
363.5436181,-54.54068063,-1.05452553
364.37503322,-52.25636082,-0.30382098
359.48822466999997,-65.68290715,0.22901575000000002
364.99058415,-50.56512961000001,0.60413645
363.40065983,-54.933459629999994,1.5072876099999999
365.46479439,-50.41214178999999,-2.12814709
365.07970527,-51.671727739999994,-2.08893378
365.35427261999996,-50.77364684,-1.4457716500000002
365.33528653,-50.83574836,-1.04934533
364.0208631,-55.135088960000004,-1.09677626
364.95244308,-52.087988939999995,-0.28658545
363.63630404,-56.392941119999996,0.20784912
362.89570768,-58.81535383000001,1.06626616
364.91585066,-52.2076789,1.18035268
365.84904399,-50.49668254,-2.12163008
365.52613922999996,-51.79180263999999,-2.08801032
365.00149985999997,-53.89604846,-2.08482109
365.76754808,-50.823549789999994,-1.02969184
365.23988125000005,-52.93993825,-0.84660161
365.66810082000006,-51.22241706,-0.23504531
363.83513699,-58.57414608,0.21213161
363.64113725000004,-59.35224845,1.08358738
365.41620847999997,-52.23271754,1.16866621
366.24561665,-50.511830870000004,-2.09981022
365.97793105999995,-51.88898028,-2.08726281
365.56113723000004,-54.03323983999999,-2.08745993
366.16292997,-50.93722514,-1.03361511
366.00037593,-51.77350925,-0.7130245
366.26805977000004,-50.39636879,-0.18797988
363.54450251000003,-64.40812519,0.22416884
366.058319,-51.475412260000006,0.6364455499999999
365.90215057,-52.27884460999999,1.16225252
366.64405127,-50.46800294,-2.06633684
366.46049158,-51.77413206999999,-2.03770474
366.30887965,-52.85293513,-1.822309
366.54102929,-51.20106153,-1.06416235
366.41715361,-52.082505760000004,-0.7372081699999999
366.5719736,-50.98087558,-0.21443665
366.29626860999997,-52.94266969,0.19958188
366.50120659,-51.48442215,0.6329499
366.36541077000004,-52.45068484,1.17217301
367.03409392000003,-50.401376559999996,-2.0324443299999997
366.92690078,-51.62665046,-1.9864989700000002
366.73566864000003,-53.812534379999995,-2.00870726
366.94586711999995,-51.40985525,-1.08912087
366.85153746000003,-52.488092800000004,-0.77346825
366.88682066,-52.08478731,-0.26777806000000004
366.89033898,-52.044571059999996,0.19757607
366.92798569999997,-51.614249300000004,0.63734229
365.85093787,-63.925472129999996,2.39422288
367.41312784,-50.34897913,-2.00927479
367.37125079,-51.548304779999995,-1.9594422599999999
367.29797911,-53.64674727,-1.96756001
367.38825197,-51.06140432,-1.03124207
367.33244564,-52.6596532,-0.78800921
367.35672031,-51.96444597,-0.26029833
367.35727506,-51.94855844,0.19731617
367.33800561,-52.50042023,0.6841339000000001
367.78508984,-50.28482745,-1.98857583
367.80548025999997,-51.452753169999994,-1.9339240899999999
367.84191473,-53.539652530000005,-1.94452887
367.79777774,-51.011567029999995,-1.02299469
367.82508004000005,-52.57539259,-0.77893367
367.81350595000004,-51.91244987,-0.25748449
367.93942599,-59.12491824,0.21230575999999998
367.82566127999996,-52.60868463,0.68979614
368.14737963,-50.168863540000004,-1.9578472500000001
368.22493741,-51.277934290000005,-1.8937584799999998
368.20690132000004,-51.020019510000004,-1.42941384
368.22445457000003,-51.27102966,-1.06589785
368.32352395000004,-52.68771464,-0.79266246
368.28552763,-52.14436995,-0.2701662
368.49148231,-55.089506920000005,0.20392889
368.75020992,-58.789293019999995,1.02815141
368.46788567000004,-54.752076669999994,1.41085267
368.49058606,-49.97513075,-1.90872275
368.62197138000005,-51.045146530000004,-1.8440093899999999
368.83519609,-52.781670860000006,-1.8029361599999998
369.24527744,-56.121416149999995,-1.82657095
368.88550596,-53.19139963,-0.84956548
369.56483997000004,-58.723966710000006,-0.60553945
369.06694213000003,-54.66903474,0.20316932000000001
369.06044978,-54.616160369999996,0.8036258599999999
369.08795244,-54.84014491,1.42653939
368.81414869,-49.76068813,-1.85827279
368.99763796999997,-50.80128568,-1.7963171500000001
369.29457415999997,-52.48525908,-1.75654788
369.80037034000003,-55.35371147,-1.72199222
369.43459779,-53.27935581,-0.86679867
369.80549074000004,-55.38275009,-0.44122163000000003
369.44100162,-53.315673020000006,0.20048703
369.59476371999995,-54.187682880000004,0.78485495
369.74106518,-55.01738225,1.4555280300000002
369.12281688,-49.55385231,-1.8149227099999998
369.36280874,-50.59335419,-1.76267703
369.73957846999997,-52.22529642000001,-1.72235756
370.46419944,-55.36392317,-1.74397517
370.06309839,-53.626592179999996,-0.9145127399999999
370.45707969,-55.33308468,-0.44530526000000004
369.93412983,-53.06797711,0.20018518
370.19403256,-54.19372106,0.79168156
372.22103104,-62.973472060000006,2.33968291
369.42054811,-49.35903826,-1.77989048
369.71103589,-50.37207581,-1.7300420600000002
370.14884443000005,-51.898874889999995,-1.67837942
370.97118625,-54.76668275,-1.6742878099999998
370.62463882,-53.558144629999994,-0.92213079
371.10555352000006,-55.235270719999995,-0.44870672999999994
370.87631971,-54.435848269999994,0.20344649
371.05128707000006,-55.0460237,0.84828934
371.05624384000004,-55.063309790000005,1.49188861
369.70415733000004,-49.1570335,-1.7469130999999998
370.0412816,-50.136102019999996,-1.6977399199999998
370.50729270000005,-51.48948072,-1.6201696300000001
371.42413043,-54.15213974,-1.60481361
371.12909291999995,-53.295298599999995,-0.91198615
371.67417359,-54.87830932,-0.44018908
371.60940977999996,-54.69022377,0.2044144
374.79398919,-63.93880592000001,1.37128725
371.52294865999994,-54.43912536,1.44337119
369.97352976,-48.94736006,-1.7155676199999998
370.34179909,-49.85884919,-1.6580634900000002
370.83228578,-51.072833790000004,-1.56323914
371.85486363999996,-53.60377662,-1.5487906699999998
374.0720059,-59.09133946,-1.57400196
371.97722168,-53.90662026,-0.39977382
372.14520793,-54.3223965,0.20408645
372.6684418,-55.617432369999996,0.90642573
372.21787789,-54.5022591,1.47563144
370.22225018999995,-48.71655509,-1.68101999
370.62375963,-49.577586780000004,-1.62068584
371.15498068,-50.716783310000004,-1.5224956
372.20922227000005,-52.977590479999996,-1.4819334599999998
370.71991371999997,-49.78378795,-0.56224486
372.46629698,-53.52888379,-0.39216417
372.65778135,-53.939519499999996,0.20377974
373.24455893,-55.19785627,0.89798474
373.24679889,-55.20265983,1.58788306
370.45604359,-48.48087865,-1.64828079
370.88908925000004,-49.295312020000004,-1.58620462
371.46492111,-50.37828485,-1.48859048
372.49070829,-52.307493210000004,-1.40872256
371.02172519,-49.54476178,-0.55412354
371.95517815,-51.30031624,-0.28044823999999996
371.07691932,-49.648565930000004,0.19427826
373.73063805,-54.6394417,0.8825857899999999
375.36751582,-57.71793434,1.9288490100000002
370.67600946,-48.242173030000004,-1.61773896
371.13866201999997,-49.01214992,-1.55446482
371.75472758999996,-50.037446870000004,-1.4568881500000002
372.73280782,-51.665232450000005,-1.3408106599999998
371.32785286,-49.32701379,-0.55014995
371.71613435,-49.97321744,-0.21647138999999999
371.32399757,-49.320597559999996,0.19393591000000002
371.40721245000003,-49.459089240000004,0.57483735
378.73225099,-61.649901330000006,2.47049782
370.88264128000003,-48.00079233,-1.58931242
371.35634487000004,-48.70308133,-1.5175490600000001
372.00844925999996,-49.669858350000005,-1.42111777
372.93779823,-51.04766418,-1.27738771
371.63085529000006,-49.11005661,-0.54808227
371.89908955,-49.507727169999995,-0.20167865
371.67388326,-49.17384771,0.19407017
371.75821231000003,-49.298869690000004,0.5777480899999999
371.06052292,-47.73596729,-1.55482103
371.55648108,-48.394121080000005,-1.4827899400000002
372.21734392999997,-49.27110914,-1.37924633
373.20712160000005,-50.584578650000005,-1.2433209600000001
371.60822492,-48.462786969999996,-0.49273077
372.07589886,-49.083406599999996,-0.18947544
372.81902258,-50.06955771,0.19698447000000002
372.14766540999995,-49.17864332,0.5847318
372.83369887000003,-50.089033650000005,1.09522267
371.22281122,-47.46956692,-1.5218166199999998
371.7402327,-48.08620132,-1.45027016
372.40659727999997,-48.8803379,-1.3405287000000001
373.46490545,-50.14157126,-1.21456346
371.73565708,-48.08074834,-0.47021918
372.16195661999996,-48.588788640000004,-0.17271069
380.60673732000004,-58.6528129,0.22115946
372.22512907,-48.66407409000001,0.56543334
371.37166481,-47.20407008,-1.4910383999999999
371.90223475,-47.77303258,-1.41759334
372.577226,-48.49686686,-1.30466679
373.7026922,-49.703772900000004,-1.18826093
371.93536694,-47.80856225,-0.4628892
372.28953582,-48.18835913,-0.16188502
380.66404405000003,-57.16885499,0.21891564
372.30035639,-48.19996269,0.54922344
373.31867816,-49.29197123,1.06332034
371.51011796,-46.94201174,-1.46343652
372.05012241,-47.46348422,-1.38750441
372.73852573,-48.1282628,-1.27380716
373.92165234,-49.27078667,-1.16427055
372.30970181,-47.714155330000004,-0.48287793
372.92977329,-48.312947089999994,-0.18890881
381.01095031999995,-56.11679289,0.21785537000000002
372.54323153999997,-47.93967075,0.54838403
373.73222481,-49.08785994,1.07870654
371.64495084000004,-46.68824079,-1.44131212
372.19017784000005,-47.162195940000004,-1.36174198
372.90043962000004,-47.7796126,-1.24988379
374.09274588,-48.8160611,-1.13631021
376.26730343,-50.70636141,-0.98908896
373.69243463,-48.46807836,-0.22244147000000003
381.58027035,-55.324819559999995,0.21761436
372.78468986,-47.678993600000005,0.54848813
371.76861955,-46.43434533,-1.42101958
372.31922541,-46.86452259,-1.33868213
373.06323883,-47.44580527,-1.23202766
374.21880687,-48.34862728,-1.10541768
376.32070647,-49.99079904999999,-0.94666578
373.93658688000005,-48.12813449,-0.22104227999999998
382.13052817000005,-54.5298956,0.21744497
384.25740922999995,-56.19158489,1.32521787
501.68985147,-147.93918419,18.31106365
371.88149697,-46.180415,-1.4024977699999999
372.43846223,-46.57040329,-1.31836268
373.22646816,-47.12216676,-1.21940505
374.33427124,-47.89785289,-1.07834536
376.53123983,-49.436175080000005,-0.93020028
374.44558129999996,-47.97579243999999,-0.2370543
382.69241831,-53.75024569,0.21741973
384.95801159,-55.336619049999996,1.3281922499999999
508.49339468,-141.83636362,18.50718108
371.97936984,-45.92367314,-1.3840422000000001
372.55137683,-46.281099919999996,-1.30153182
373.35448444,-46.782933240000006,-1.2028305000000001
374.44637812,-47.465218670000006,-1.0559075199999999
376.6005938,-48.811311260000004,-0.9007818799999999
381.52918619999997,-51.89101296,-0.64259687
383.2988053,-52.996784850000004,0.21760743999999999
385.97261188,-54.667551270000004,1.35414882
409.66901643,-69.47458977000001,5.45970062
372.06748875,-45.66787355,-1.36748726
372.65339742,-45.992645270000004,-1.28650469
373.45572875,-46.437381020000004,-1.18467816
374.53491157999997,-47.035576760000005,-1.03401414
376.69179533000005,-48.23114681,-0.87865821
382.10056382000005,-51.22925072,-0.65046099
383.86986721,-52.20998329,0.21780124
386.80623541,-53.83762496,1.3703210799999999
406.32695084,-64.65804247,4.89191293
372.14533028,-45.41252823,-1.3524812499999999
372.74937973,-45.70714014,-1.27450976
373.54428916999996,-46.094839840000006,-1.1682829099999998
374.63729734000003,-46.62793068,-1.01897158
376.84991045000004,-47.707084349999995,-0.8682320400000001
382.6134889,-50.51814374,-0.65682574
384.50557495,-51.44096734,0.21823768000000002
388.15826263,-53.222485909999996,1.4201471799999998
403.28567659,-60.600551349999996,4.40442935
361.19176926,-47.800020270000005,-2.33155078
359.95430348,-48.37706545,-2.3683778799999997
358.1145687,-49.23495593,-2.4187790799999997
355.37629717999994,-50.51184489,-2.4396506
352.09844821,-52.04034532,-2.2224355499999997
343.1467638,-56.21462349,-2.13462708
322.04941991,-66.05256886000001,-1.4034214
299.24560856,-76.68626054,1.8107253499999998
265.3649387,-92.48522465,8.57357504
361.37645516,-48.124976749999995,-2.3247167099999997
360.20678949,-48.74690441,-2.3508810600000003
358.60783000000004,-49.597093619999995,-2.3525688
355.84241793,-51.067502059999995,-2.40827877
352.45040495,-52.871083,-2.22988235
343.75058878000004,-57.49689743,-2.13722044
323.15979404999996,-68.44531215,-1.40559065
266.03590104,-98.81888827,2.7226794
265.21881293999996,-99.25334548999999,8.81094958
361.58620981,-48.433586999999996,-2.31441015
360.61750282,-49.01564963,-2.28623835
361.97490064,-48.200036090000005,-1.49646092
356.31972404,-51.59803667,-2.37969461
352.65845023,-53.79796983999999,-2.2666964
344.66926334999994,-58.5983967,-2.11622777
323.98383069,-71.0275598,-1.4218557699999999
265.95483263,-105.89518345,2.8045587999999997
265.05007286,-106.43882239,9.08859095
361.81519619,-48.72659305,-2.3023858
361.01432607000004,-49.26679096,-2.22888632
362.35205607000006,-48.36447368,-1.44210707
362.15318863,-48.4986125,-1.15879844
352.65011575999995,-54.9085658,-2.34741772
362.86019431,-48.02172745,-0.39993661
