x,y,z
-29.998126739999996,-32.8189242,-0.7024610199999999
-31.109398839999997,-33.33711745,-0.7469299599999999
-32.88283587,-34.16408242,-0.83546814
-35.358844600000005,-35.31866104,-0.86264502
-38.549764839999995,-36.80660744,-0.70814372
-44.12215967,-39.4050506,-0.3972775
-60.48349315,-47.034444480000005,0.21003990000000003
-119.42886,-74.52104401,3.7884335700000005
-29.920932039999997,-33.14438743,-0.72811508
-31.063840759999998,-33.75208121,-0.7883959199999999
-32.83525493,-34.69395641,-0.8813416100000001
-35.25157732,-35.978734519999996,-0.89946287
-38.434949190000005,-37.67135902,-0.74600966
-44.271571869999995,-40.77473837,-0.45812474999999997
-80.83628374,-60.21649057,-0.49834080999999997
-114.76355238000001,-78.25589294000001,3.7308005300000002
-29.85328795,-33.4859245,-0.76494563
-31.00837359,-34.1799683,-0.8350431500000001
-32.75898008,-35.23183626,-0.9283111599999999
-35.09078903,-36.63292506,-0.93325216
-38.406126220000004,-38.6249758,-0.80546374
-44.35654795000001,-42.200341259999995,-0.52151204
-81.88429436,-64.74923179000001,-0.5907730800000001
-111.31758638,-82.43449518,3.7091690899999996
-29.75986943,-33.82496502,-0.79977856
-30.954260899999998,-34.63059039,-0.89147081
-32.608502709999996,-35.74638802,-0.96370354
-34.90754524,-37.29710822,-0.97077344
-38.49237403,-39.71510022,-0.89353721
-44.48625236,-43.75801291,-0.59881653
-80.02050914,-67.72611667,-0.59158372
-109.12263123999999,-87.35570078,3.7273859700000003
-29.61173823,-34.13747428,-0.8202915799999999
-30.83125923,-35.056447229999996,-0.9337335400000001
-32.36824905,-36.21464957,-0.9817660100000001
-34.674881559999996,-37.95281798,-1.00626181
-38.731532619999996,-41.00971705,-1.0201359600000002
-44.68551798000001,-45.49635688,-0.69453034
-76.63051227,-69.56858336,-0.54190323
-109.71420059,-94.49887543000001,3.83374579
-29.451394230000002,-34.44926906,-0.8434096
-30.6091394,-35.42073051,-0.94893705
-32.173377439999996,-36.73327923,-1.02207814
-34.43864517,-38.63406044,-1.05062342
-39.10443938,-42.54911817,-1.18734962
-44.716103860000004,-47.25785358,-0.7860622899999999
-73.65765628,-71.542647,-0.50963298
-156.00202914,-140.63763042,5.32581576
-29.2709265,-34.75340249,-0.8657702500000001
-30.42813159,-35.83251139,-0.9883647999999999
-31.982391160000002,-37.28187879,-1.07425261
-34.29677226,-39.44006947,-1.12996554
-39.21080579,-44.02247009,-1.32858739
-44.71291352,-49.15325759,-0.88846287
-78.67604793000001,-80.82432516,-0.80093131
-141.0890741,-139.02528934,5.04467635
-29.075828270000002,-35.05375185,-0.8898160300000001
-30.22448131,-36.243214349999995,-1.02932169
-31.782266359999998,-37.85634456,-1.13575968
-34.05252546,-40.20726166,-1.19738313
-38.95216112,-45.2809721,-1.4218978100000002
-45.05714278000001,-51.6028522,-1.0487745800000001
-77.21600055,-84.90425327999999,-0.85438501
-28.89742718,-35.38615669,-0.93178235
-30.019960179999998,-36.67748041,-1.08159113
-31.46451626,-38.339248510000004,-1.16921345
-33.98278996,-41.23618478,-1.32933331
-38.48295928,-46.413026259999995,-1.49113645
-47.80535949,-57.13719787,-1.53376339
-74.53741738,-87.88884656,-0.86587505
-123.18239199,-143.84836813,4.8384003799999995
-28.68696589,-35.70027906,-0.9683461
-29.768035169999997,-37.08398161,-1.12565269
-31.18689541,-38.90003591,-1.22982585
-33.77000286,-42.206255410000004,-1.4430516199999999
-37.9454735,-47.55060238,-1.56281601
-48.10385806,-60.55271315,-1.7645644100000002
-72.07748379,-91.23748743,-0.8958369
-104.88651420000001,-133.23103915,4.38282992
-28.43028759,-35.96992306,-0.98993665
-29.46124583,-37.442280679999996,-1.15596163
-30.86046925,-39.4405743,-1.28670417
-33.39571736,-43.061275619999996,-1.52922948
-37.402935819999996,-48.7841637,-1.65228436
-47.92820696,-63.81577462999999,-1.9703023400000002
-69.29843385,-94.33555236000001,-0.92045345
-94.26713274,-129.99446906,4.17794263
-28.151689970000003,-36.21903743,-1.00811981
-29.167119349999997,-37.84406028,-1.20555931
-30.477498110000003,-39.94109967,-1.33545486
-33.00049628,-43.97873119,-1.6306585
-36.89871456,-50.21716972,-1.77489373
-46.86060791,-66.15949383,-2.08181964
-66.0471383,-96.86428812,-0.9296891899999999
-85.54013944,-128.05953698,4.03021647
-27.87049368,-36.47720076,-1.03498228
-28.805163940000003,-38.1633863,-1.2318183999999999
-30.05787576,-40.42333258,-1.3833835300000001
-32.35668814,-44.570489470000005,-1.66461893
-38.27682763,-55.25067699,-2.44855104
-45.49810353,-68.27817084,-2.17445402
-60.15132735,-94.71321997,-0.7872329499999999
-74.05062928000001,-119.78816143,3.73251978
-27.550743179999998,-36.67767903,-1.04515194
-28.38440005,-38.386924300000004,-1.23296515
-29.59358728,-40.8661188,-1.4255947900000001
-31.64089878,-45.06371809,-1.6844597099999998
-37.91910695,-57.935917630000006,-2.74504269
-44.16613244,-70.74418335,-2.30289704
-57.217061599999994,-97.50248119,-0.8201354399999999
-61.07562643999999,-105.41369012999999,3.3019607000000004
-27.19275461,-36.79879483,-1.03226529
-27.98876896,-38.67408158,-1.26089056
-29.06040423,-41.19868857,-1.4448858100000002
-30.87076213,-45.4636119,-1.69271559
-36.63001612,-59.03152386,-2.8068888700000003
-42.19136352,-72.13319847,-2.33925062
-48.85696847,-87.83633314999999,-0.45963644000000003
-49.58881115,-89.56044136,2.8611130300000003
-26.826600130000003,-36.888786610000004,-1.01526067
-27.52241607,-38.80051888,-1.24558898
-28.458645110000003,-41.37277849,-1.43102534
-30.084446200000002,-45.83961547,-1.70414966
-35.16637894,-59.80206464,-2.8310315900000003
-39.58141191,-71.93222781,-2.2458359999999997
-45.88955643,-89.26365502,-0.46670495
-46.62803213,-91.2925936,2.87320843
-26.46189098,-36.96894635,-1.00188148
-27.031469050000002,-38.83194518,-1.20940908
-27.826809400000002,-41.43337634,-1.39718015
-29.28296659,-46.196233750000005,-1.7197049100000001
-33.65946874,-60.51107272,-2.8570094
-37.25190407,-72.26135447,-2.2109509099999998
-44.62359998,-96.37299348,-0.6530959
-49.5958951,-112.63657603,3.35985078
-26.09251547,-37.01742175,-0.98436037
-26.54986448,-38.85174011,-1.1779245600000001
-27.17869929,-41.37384735,-1.3426173600000002
-28.42104558,-46.35660351000001,-1.70564691
-32.13065556,-61.234968980000005,-2.8956661400000003
-35.40658053,-74.37392676,-2.33696399
-41.36936953,-98.28925865,-0.6818151899999999
-44.05501094,-109.06072915,3.24667071
-25.715764909999997,-37.00473797,-0.95271172
-26.074653010000002,-38.851046700000005,-1.14819096
-26.55617829,-41.3282654,-1.30020036
-27.60500919,-46.72400195,-1.73941226
-30.49569239,-61.595193200000004,-2.8953735999999997
-33.39902968,-76.53148379999999,-2.47353969
-38.67576598,-103.6777843,-0.81933291
-37.94600914,-99.92353217,3.01135616
-25.34285737,-36.95596807,-0.91576567
-25.59351626,-38.739484929999996,-1.09378448
-25.94319058,-41.2275278,-1.25274547
-26.76341372,-47.06367359,-1.77578196
-28.77785556,-61.39706126,-2.83131228
-30.97864808,-77.05639267,-2.48319772
-34.16674002,-99.74067024,-0.68329869
-38.2346991,-128.68547931999998,3.66415295
-24.97834066,-36.882775099999996,-0.8773578000000001
-25.127756650000002,-38.59058676,-1.03615448
-25.33600401,-40.97083569,-1.1761237900000001
-25.89063024,-47.310164779999994,-1.80287789
-27.06859952,-60.77425002,-2.7226618300000003
-28.57854489,-78.03279281,-2.5402511000000003
-30.27113581,-97.37895827,-0.60135086
-24.62396561,-36.78602788,-0.83753007
