x,y,z
200.46709737,-125.19756498000001,6.3532880899999995
199.83374563,-123.83933777,6.48770578
198.99837416,-122.04787788,6.60556221
197.89247047,-119.67625977,6.72670767
196.10084556,-115.83410774,6.67826206
193.67518616,-110.63226439,6.73773801
189.49940224000002,-101.67726687,6.67982393
176.45983474000002,-73.71382410999999,5.08586431
169.38567693000002,-58.54324373,7.718943739999999
199.69331584,-125.57276710000001,6.34882925
198.98317133,-124.23717952000001,6.4777593300000005
198.03502857,-122.45398233,6.58062243
196.83936968,-120.20527502,6.727864449999999
194.84739859,-116.45892227,6.67822961
192.18375663999998,-111.44934036000001,6.75259256
187.95847218,-103.50273606,6.845006560000001
173.45694514,-76.22933036,5.19777631
168.85583782999998,-67.57590606,8.27354259
198.96345739,-126.02756976,6.36597177
198.18544519,-124.73274002,6.49406476
197.11219744000002,-122.94655581,6.57096675
195.74415332,-120.66974805,6.68376579
193.71002144,-117.28438410999999,6.72203484
190.78686554,-112.41943571,6.7879384400000005
186.37044539,-105.06927827,6.94652511
171.30406438999998,-79.99460951,5.47002587
168.74493187,-75.73549776,8.7715953
198.22712576,-126.47016675,6.35545865
197.37086535999998,-125.20070851,6.4758540700000005
196.20103167000002,-123.46635873999999,6.55174842
194.64994117999998,-121.16677252,6.6286697000000006
193.03304681,-118.76962805,6.96789971
189.53563575,-113.58450291,6.85804072
183.64159237,-104.84622424999999,6.65769445
169.86619841,-84.42336284000001,5.833836229999999
164.74072456000002,-76.82453536,8.68445548
197.48818254000003,-126.9170938,6.32476056
196.52570028,-125.63983669999999,6.41939623
195.25064567,-123.94778206999999,6.4916737399999995
193.55573916,-121.69856518,6.562559159999999
192.34163751,-120.08739786,7.15358054
191.27504738,-118.67198495000001,8.02185768
180.41250116999998,-104.25689926,6.24654791
168.87876224,-88.95111074,6.21607836
161.85698476,-79.63289729,8.72768953
196.73857603,-127.36560621000001,6.27036473
195.66531567,-126.08654431000001,6.34060911
194.25800303,-124.40937442,6.395270239999999
192.51156343,-122.32804875,6.51117173
191.28240815,-120.86319853,7.13913189
190.63923874,-120.09669907,8.18432434
177.5712084,-104.52282697000001,5.9740771299999995
168.36995364999999,-93.55719856,6.6198497099999996
161.00148875000002,-84.77580404,8.97450764
195.97673489000002,-127.82221807,6.193766040000001
194.79884123,-126.55908176999999,6.24732355
193.25240575,-124.90073274000001,6.28323018
191.54549901,-123.07029936,6.48367135
189.58774288,-120.97086295,6.85084328
189.30314830999998,-120.66567263,8.08059395
175.11878258000002,-105.45480265,5.81222874
167.02196526,-96.77202911,6.80583896
156.38444458,-85.36468478,8.78946057
195.25186564,-128.34154445000001,6.12900855
193.94217233999998,-127.07678831999999,6.14939602
192.31696062999998,-125.50733962,6.199479159999999
190.50028536000002,-123.75299671,6.403454819999999
187.96537839,-121.3050655,6.602252200000001
181.89804589,-115.44591061,6.06706617
173.00516051,-106.85815103,5.72833486
165.63898448,-99.74471750999999,6.94717365
151.22640049,-85.82664693999999,8.55723644
194.56450213,-128.91575805,6.073101299999999
193.15420118999998,-127.68980214,6.0787406299999995
191.41061444,-126.1741253,6.11769794
189.42417121999998,-124.44733656,6.29756033
186.91468987,-122.2658777,6.56753046
180.80289768,-116.95297781,6.1146708
176.09620288999997,-112.86151045000001,6.834323889999999
164.34574374,-102.64699215,7.07086728
145.29992361,-86.0907133,8.26103561
193.92785839,-129.54846577,6.031328439999999
192.43321690000002,-128.38072386,6.0292463
190.57432622,-126.92839929,6.05553304
188.41339325,-125.24009342,6.20754145
185.90714081,-123.28199441000001,6.53126357
179.54868173,-118.31422172,6.091645519999999
175.94269915,-115.49691937,7.10631452
163.35094279,-105.65916111,7.21188699
139.017114,-86.64749044,7.943437370000001
193.32806824,-130.22130907000002,5.9927899700000005
191.75686871999997,-129.12114332,5.98550421
189.77591078,-127.73406163,5.9944714999999995
187.55824138,-126.18123281,6.165873800000001
184.61545497999998,-124.12067159,6.382050809999999
178.91924151999999,-120.13213997999999,6.2216200200000005
170.84843716,-114.48090192,6.2858433
162.58386667000002,-108.69398737,7.35784355
132.44950717,-87.59368169,7.61009403
192.77115554,-130.93395339999998,5.95935844
191.08008919,-129.87725786000001,5.92322623
189.12092229,-128.65303451,5.9798355
186.86556047,-127.24372804000001,6.168751690000001
183.52511596,-125.15638664,6.28868152
178.12250479,-121.7804605,6.27705208
170.68017991,-117.12997977,6.5166197299999995
161.8661298,-111.62234999,7.48282533
113.50777203,-81.40469431000001,6.25235378
192.29493305,-131.70265186,5.949863769999999
190.52648505000002,-130.72238512,5.90286626
188.55554192,-129.62987351,5.98307854
186.33098981,-128.39678413,6.20944302
182.59242317,-126.32446281,6.23037791
177.33800029000002,-123.41188865,6.31140274
170.39042491,-119.56078473,6.68842805
162.02374265,-114.92305702,7.70522225
118.91481128,-91.02738616,6.92678274
191.88361235,-132.50811069,5.95319135
190.07911230000002,-131.62799721,5.91190563
188.04909178000003,-130.63789005,5.98917152
185.68113218,-129.48295898,6.18498906
181.78844699,-127.58436956,6.19404035
176.60864009,-125.05800893,6.33696199
170.43603266999997,-122.04742714,6.8959563
162.09911505,-117.98124072,7.88684061
118.84824601,-96.88638241000001,7.113811449999999
191.54483360999998,-133.34624968,5.971676670000001
189.70050042,-132.56337669,5.93027753
187.59321743,-131.66888813,5.99394869
184.85938711999998,-130.50844601,6.07968615
181.05324739,-128.89283555,6.1590814
176.12288349,-126.80002024,6.40030037
170.22128035000003,-124.29493833000001,7.02456154
162.68286369,-121.0950703,8.11064157
117.90712977999999,-102.08889888,7.205763859999999
191.27659828,-134.20832228999998,6.002903300000001
189.36020637000001,-133.51081268,5.94324778
187.14787611,-132.70559031000002,5.98102894
184.06755852999999,-131.5844464,5.967891170000001
180.36686075,-130.23750256,6.11875296
175.75585901,-128.55923518,6.468809139999999
170.06582096,-126.4882307,7.13965188
161.93227328,-123.52786145,8.13437384
117.81595305,-107.47083403,7.33917282
191.04990491,-135.07841227,6.03164851
189.07315454,-134.47405903,5.95740558
186.61982313000001,-133.72400035,5.91432134
183.38228182999998,-132.73418464,5.87481566
179.77095723,-131.63009191,6.08466717
175.45515819,-130.31061972999998,6.529929210000001
169.73089405,-128.56053655,7.1990009299999995
161.15575965,-125.93885487,8.13789002
116.98380682000001,-112.43413362999999,7.39470419
191.00075204,-135.98871173,6.12380533
188.90710603,-135.46670716,6.00199293
186.18697810999998,-134.78850309999999,5.86451129
182.76589058000002,-133.93553017,5.78569735
179.17091079999997,-133.03920105,6.02889075
175.14229794,-132.03475505,6.565909309999999
169.14996073999998,-130.54069758,7.19365323
161.04427579,-128.51972334,8.20939416
88.88942940999999,-110.5294996,5.44538913
195.80831429000003,-137.82466409,8.51872149
189.50245013,-136.59892825999998,6.35198879
185.95395461,-135.90917061,5.87016616
182.26388210000002,-135.19189317000001,5.71445496
178.50385175,-134.46101731000002,5.93387825
174.6973202,-133.72110253,6.55022326
168.84543265,-132.58361082,7.2189440000000005
160.81011902,-131.02170407,8.24782113
84.42575128,-116.17408706,5.22374267
197.84480825999998,-138.7353138,9.53430289
195.05441153,-138.34314910999998,8.79334941
187.54055399,-137.2871453,6.54328227
182.06626726,-136.51778448,5.72226892
178.03497095,-135.95122273,5.873997020000001
174.2936362,-135.42541242,6.52382544
168.83305387000001,-134.65797762,7.27658679
160.08403789,-133.42838361,8.208659169999999
78.82665060000001,-122.00840258,4.90151128
198.31793785000002,-139.28397472,9.78466165
196.68211377,-139.14085866,9.51662222
192.19656061999999,-138.74842361,8.34280581
182.71928986,-137.91926986,5.9859322299999995
177.79663682999998,-137.48859352,5.856636150000001
174.02671755,-137.15876832,6.50824245
168.64297154,-136.68775158,7.28373042
157.97389382,-135.75432823,7.98353164
79.21958159,-128.86421871000002,4.98395349
198.31574616,-139.76166371,9.797351149999999
196.64151425,-139.70319824,9.51399869
193.6256949,-139.59788351,8.89801502
185.22753991000002,-139.30461348,6.8310317199999995
177.72536453,-139.04263174,5.863200379999999
173.69460425,-138.90187448999998,6.45739661
168.08417101999999,-138.70595384,7.207862189999999
156.66259724,-138.3071037,7.84194149
125.22968533,-137.20944223,8.26563559
198.33887320999997,-140.2373948,9.81018321
196.65873041999998,-140.2667218,9.52337373
193.65335392,-140.31918084,8.91076638
185.94700853999998,-140.4536956,7.069223050000001
177.67908725,-140.5980127,5.854155100000001
173.34376566,-140.67368602,6.381637520000001
167.43859813999998,-140.77676111,7.09831071
156.4712599,-140.96819671,7.82129771
125.95349878,-141.50088621,8.319435519999999
198.43372272,-140.70655545,9.84513321
196.77094763000002,-140.82282801,9.560586260000001
193.78406083000002,-141.03169148,8.9481364
185.44658268,-141.61470475,6.8894398
177.70543302,-142.15601866,5.84263815
172.88116000000002,-142.49336469,6.259303169999999
166.92845215,-142.90961858,6.99308609
155.9701285,-143.67589921,7.745313200000001
87.50258644,-148.46361615,5.58305834
198.62012589000003,-141.15794777,9.91206555
196.94534969,-141.36358443,9.612165
194.04543535000002,-141.71964914,9.02108384
185.19134046,-142.80679529,6.76917204
177.79756324000002,-143.71463698,5.82668401
172.83471113,-144.32399859999998,6.2092222900000005
166.4308291,-145.11029644,6.8697803099999994
154.97530709,-146.51685768,7.59027297
123.0032001,-150.4425388,8.06709072
198.88118392,-141.58235886,10.00401391
197.17207496,-141.88372088,9.67458044
194.29326237,-142.39133321,9.07585022
185.61930294,-143.92078629,6.85361304
177.91066791,-145.28002662999998,5.793626400000001
173.00258495999998,-146.14545408,6.18590963
165.99173750999998,-147.38165564000002,6.7353463
155.12652373999998,-149.29748598,7.55816705
199.20416893,-141.97277186,10.11628765
197.43699082999998,-142.38075707,9.7425662
194.5974375,-143.03631961,9.1395008
186.40086684999997,-144.92864706,7.03808084
178.00402371,-146.86721104,5.7314061700000005
173.24912727999998,-147.96496538,6.15853957
165.91578348,-149.6580012,6.64311729
155.3598594,-152.09502829,7.5177547
199.5316307,-142.33719585,10.22250315
197.84775550999998,-142.82003929,9.864426009999999
195.06456224000001,-143.61810711,9.25464096
187.09779525000002,-145.90254079,7.17877683
178.16275092,-148.46462352,5.66328433
173.53936055999998,-149.79035937,6.1187688300000005
166.15050734,-151.90907894,6.58438903
155.07284375,-155.08554786000002,7.39168259
67.4211158,-180.2192764,3.78642101
199.96004078,-142.64313378999998,10.371432070000001
198.28648023999997,-143.21938690000002,9.99079253
195.53161747,-144.16796222000002,9.35983467
187.65538345000002,-146.87996708,7.25644573
