x,y,z
-35.821163489999996,-97.49494967000001,-0.93252542
-39.00195033,-98.97817493000001,-0.7271375600000001
-38.91144344,-98.93597087,0.11986815999999999
-37.6140804,-98.33100055999999,0.9903321900000001
-38.49256475,-98.74064453999999,1.7824789699999999
-38.09147524,-98.55361342,2.55948973
-39.143997840000004,-99.04441277,3.5014098000000002
-38.29528855,-98.64865313,4.16891297
-38.568351320000005,-98.77598438999999,5.02511392
-35.20335068,-97.91379731,-0.86695981
-43.10157903,-102.11335982,-1.3726829699999998
-37.86655354,-99.32984739,0.17703227
-39.17754388,-100.02691332,0.94080962
-37.1900478,-98.97014290999999,1.75121795
-37.81863233,-99.30436723000001,2.56690803
-38.86786691,-99.86225515,3.51716667
-37.67891068,-99.23007591,4.11472391
-38.78783206,-99.81969987000001,5.18180672
-34.49986178,-98.23856504999999,-0.78592606
-42.568737629999994,-103.08683478,-1.3746701799999999
-44.37668858,-104.17316131,-0.42904794
-44.96916969,-104.52915987,0.77409379
-37.2779887,-99.90783211,1.7670439
-38.16976593,-100.44366592,2.63770461
-50.6910703,-107.96722462,5.427442119999999
-33.759162169999996,-98.48321856000001,-0.69756835
-42.15703275,-104.1476538,-1.40304432
-39.06577437,-102.06257369000001,-0.00649077
-38.52278479,-101.69632259,0.93394419
-39.88121753,-102.61259705,1.8743224
-39.43173592,-102.30941787,2.80654572
-44.44278291,-105.68941175,4.55886187
-33.07286113,-98.70631311,-0.6206879399999999
-41.576968390000005,-105.11461757,-1.41441685
-38.440273579999996,-102.75094849999999,0.0017514499999999999
-38.302077159999996,-102.64681001999999,0.9253929399999999
-38.80461481,-103.02549929999999,1.8556026499999998
-38.105640709999996,-102.49878454,2.7273348499999996
-38.89951492,-103.09701166999999,3.7538633299999997
-39.02535109,-103.19183602,4.72176986
-32.4415317,-98.91898703999999,-0.55589657
-40.87983607,-105.99956513,-1.41509343
-37.47311479,-103.14098656,0.04045265
-37.419585659999996,-103.09607028,0.93483326
-38.26342583,-103.80413625999999,1.85740123
-37.61263931,-103.25806154,2.7344285000000004
-37.88905351,-103.49000059,3.68081031
-38.19272619,-103.74481222,4.66476272
-38.61125981,-104.09600363,5.71580764
-31.88499859,-99.15175789999999,-0.5088594
-40.00868487,-106.72721792,-1.3934008199999999
-37.54962035,-104.43410315999999,-0.02836343
-43.23547971,-109.73625278,0.73370795
-43.632854189999996,-110.10681048000001,2.0984227
-37.607224970000004,-104.48782032999999,2.8006649599999998
-43.3771259,-109.86833999000001,4.795924299999999
-31.41792261,-99.43975425000001,-0.48534208999999995
-38.886545500000004,-107.17373965,-1.33131569
-39.44298522,-107.74994985,-0.30498079
-42.34912234,-110.75934293,0.73175777
-42.68665403,-111.10886722,2.09923044
-50.51534546,-119.21571452,4.39607922
-30.86792164,-99.61364292,-0.4417459
-37.683907680000004,-107.45453793,-1.25419076
-38.42412521,-108.3060608,-0.28402878000000004
-38.22312162,-108.07483260999999,0.84125213
-39.2366714,-109.24078826,1.99020972
-38.68493778,-108.60609133,3.10414219
-42.184922619999995,-112.63236332000001,4.95125758
-30.33474533,-99.77003107,-0.40261055
-36.41275307,-107.54952621000001,-1.16053243
-37.071295289999995,-108.39242181,-0.22426706
-37.56483209,-109.02412011,0.83404465
-38.13490289,-109.75377746,1.98124314
-38.41679801,-110.11458676000001,3.18529777
-38.07101512,-109.67200485,4.29569763
-38.12709232,-109.74378039,5.46070858
-29.80737144,-99.89729172,-0.36474245000000005
-34.85966266,-107.11271137,-0.99812736
-36.54570529,-109.52062979,-0.26900436
-44.51894993,-120.90760323,0.51959789
-45.56904506,-122.40729449,2.41030935
-49.55798499,-128.10409111,4.90801897
-29.288157599999998,-99.99845332999999,-0.32851854
-32.93635747,-105.83679354,-0.7273763099999999
-39.50211095,-116.34419554,-0.8201856399999999
-42.07648905,-120.4640617,0.5590602
-42.62244739,-121.3377777,2.33627212
-42.39087464,-120.96718381999999,4.09868389
-44.00637855,-123.55253051,6.27397366
-28.76735631,-100.05586949,-0.29003053
-31.43921387,-104.87602813,-0.52513508
-38.25149564,-117.16570976999999,-0.8256889599999999
-40.35867712,-120.96716577,0.5691297399999999
-40.860611840000004,-121.87267999,2.32353234
-41.66419793,-123.32238767000001,4.23433304
-41.56609168,-123.14539930000001,6.06138573
-28.23789586,-100.04723428999999,-0.24486404
