x,y,z
101.49970861,-173.98983854999997,3.78156013
104.08863554,-172.7826021,3.7443317
107.09749579999999,-171.37954752000002,3.9509382399999997
112.53762947999999,-168.84277151999999,4.3217076500000005
122.25330622999999,-164.31227705,5.2432973
133.97119625,-158.8481352,7.3664986699999995
207.11312913,-124.74149176,16.77852948
209.13714815,-123.79767619,23.615457929999998
101.12517474,-173.66056588,3.82383262
103.61731307,-172.33547243,3.7828363
106.41430413,-170.8482859,3.9963912699999997
111.33642114,-168.23114986000002,4.37727765
121.35737166999999,-162.90291595,5.24623011
131.72074022,-157.39261515,7.31817689
204.18508308,-118.86264059,16.77876812
247.25323936,-95.96289569000001,30.116647920000002
100.80409628,-173.32067937,3.8490000600000003
103.04965764,-171.97140997,3.8373623500000003
105.62510101,-170.42392747999997,4.05441786
109.96843428,-167.81418956000002,4.4455409800000005
119.67577529,-161.98143063,5.263354369999999
129.66866346,-155.97709766,7.27961316
243.18863447,-87.76741761,21.09801861
100.49182436,-172.98749911,3.86793998
102.53185695,-171.61147975,3.8795086
104.88849529,-170.02190713,4.10361987
108.66116975999999,-167.47720606,4.50938145
117.5006192,-161.51492214,5.290212790000001
128.08197959,-154.37770443,7.26265641
100.13507358000001,-172.69734777000002,3.89532144
101.99645332,-171.29469753,3.92314549
104.15709445,-169.66653766,4.150859720000001
107.33696477,-167.27033350000002,4.57574719
115.31890739,-161.2555083,5.31777783
126.44013975,-152.87505862,7.246223260000001
99.74602379,-172.44936936,3.9290256699999997
101.43128152999999,-171.03527021000002,3.9717859700000004
103.47259744000002,-169.32240278,4.1898899499999995
106.20813953999999,-167.02701041,4.62645765
112.93700802,-161.38081935,5.3507113
123.61152177,-152.4238388,7.1777787
226.5932236,-66.01193078,21.0208986
99.37475409999999,-172.20465185,3.9550520799999997
100.86371451999999,-170.81617379,4.02026955
102.76899652,-169.03946958,4.2311086399999995
105.26741706000001,-166.70965475,4.6607012800000005
111.08044921000001,-161.28891457,5.37325788
120.76676687,-152.25627722,7.10626189
218.30437014,-61.3009907,20.75026726
99.0015877,-171.97766459,3.97909217
100.30581695999999,-170.62709566,4.06623964
102.02408504,-168.84777698000002,4.27930385
104.25514338,-166.53744843,4.70236007
109.41743847,-161.19173537,5.39221702
118.09964228999999,-152.20105012,7.04026748
211.06169551,-55.93602599,20.62702776
98.56704007,-171.8365956,4.02165805
99.72576425,-170.50363591,4.1183518800000005
101.28220278,-168.71315819,4.32810706
103.3887146,-166.28989355000002,4.730268730000001
107.87845617,-161.12503669,5.40901434
116.16034567999999,-151.59781264,7.00962138
205.23119255,-49.1335244,20.72140257
98.14395739,-171.71122076,4.06036235
99.18802651,-170.37487322,4.16038875
100.62266571,-168.53861878,4.36269042
102.52506160000002,-166.10366308000002,4.75837254
106.20627772,-161.39192131,5.430543269999999
113.77735586,-151.7013832,6.95311501
200.64122518,-40.52070052,21.04814039
97.75323888000001,-171.56912986999998,4.0869002
98.68105127999999,-170.24407645,4.19441128
99.98367879,-168.38373156,4.39372103
101.67467449,-165.96873943,4.78590266
104.75242655,-161.57325396,5.4476798099999995
111.63811808,-151.73946732000002,6.90697032
159.56189204,-83.29722506,15.89043799
97.37234473000001,-171.43259263,4.108539830000001
98.19033049,-170.12354179000002,4.22391573
99.31034030000001,-168.33115142,4.43351989
100.90345926,-165.78162813,4.80458303
103.58398656,-161.49188774,5.4574653
