x,y,z
-31.50480958,-18.7235727,-0.7881088599999999
-33.40888404,-19.61206938,-0.68337963
-36.05050095,-20.844724879999998,-0.43095663
-50.28046327,-27.48484034,-0.3641557
-31.2756678,-19.066583559999998,-0.77801594
-33.07664552,-20.02479048,-0.6672357200000001
-35.58603547,-21.35990685,-0.4141021
-48.50757249,-28.234787150000002,-0.31591768
-31.025011890000002,-19.3916305,-0.76674014
-32.73237326,-20.4181304,-0.65212371
-35.134606749999996,-21.862401369999997,-0.4009094
-47.177710690000005,-29.10295705,-0.28779937
-118.60949011999999,-72.04917578,2.25571709
-30.7494099,-19.69386408,-0.7531403600000001
-32.37295165,-20.78958068,-0.63735374
-34.61889536,-22.30535185,-0.3830414
-46.253409170000005,-30.15740112,-0.27960446
-113.83564614000001,-75.76816433,2.2276965
-30.48870175,-19.99954428,-0.7464066800000001
-32.00833393,-21.1452985,-0.62447997
-34.11936582,-22.736949260000003,-0.36888745
-45.608278659999996,-31.39922334,-0.28716943
-110.1959526,-80.09627078,2.22149785
-119.12853901,-86.83115622,8.58238361
-30.19665408,-20.27561391,-0.73540217
-31.66420391,-21.50769493,-0.61825455
-33.70013894,-23.216963569999997,-0.36624450000000003
-44.992120109999995,-32.69714296,-0.29973884
-106.92651919,-84.69414911,2.22571578
-29.88018191,-20.522286899999997,-0.7211169900000001
-31.27869533,-21.82711234,-0.60726543
-33.31409689,-23.72616006,-0.37064333
-44.38715594999999,-34.05742244,-0.31702946
-106.16001727000001,-91.69205036,2.2819144
-29.549170170000004,-20.74438249,-0.70549926
-30.91311663,-22.15753696,-0.60312067
-32.9533286,-24.27135501,-0.38199221
-44.0052602,-35.72201451,-0.35151285
-141.13173104,-136.35258166,3.0596664199999997
-29.213905909999998,-20.95040001,-0.6910122200000001
-30.58473726,-22.52820233,-0.61048475
-32.62964251,-24.88185164,-0.403022
-43.56383206,-37.46690786,-0.38961592
-128.65134691,-135.40111261,2.9334133600000003
-28.88527693,-21.15396782,-0.6809297
-30.20186081,-22.84003583,-0.61008621
-32.39976069,-25.65475104,-0.44391440000000004
-43.76570766,-40.21042036,-0.47617040000000005
-116.19005928,-132.9598337,2.79779781
-28.56091918,-21.35600637,-0.67501397
-29.83921932,-23.18263453,-0.61863001
-32.07027618,-26.3707053,-0.47839431
-44.567803489999996,-44.22905851,-0.6190786500000001
-109.62173187,-137.18792965,2.79079926
-28.21986004,-21.52726173,-0.6661989800000001
-29.48389101,-23.55132322,-0.63454794
-31.75574713,-27.18919016,-0.52462313
-46.13949735,-50.221533179999994,-0.84512195
-99.40905683999999,-135.52075961,2.69366442
-27.85829079,-21.653846039999998,-0.6517440000000001
